name,affiliation,homepage,scholarid,orcid,dblp_profile
A. Prasad Sistla,University of Illinois at Chicago,https://www.cs.uic.edu/Sistla,NOSCHOLARPAGE,0009-0005-8331-7912,https://dblp.org/pid/s/APrasadSistla
Aarti Gupta,Princeton University,https://www.cs.princeton.edu/people/profile/aartig,S_jYB2sAAAAJ,0000-0001-6676-9400,https://dblp.org/pid/18/2229
Abhik Roychoudhury,National University of Singapore,https://www.comp.nus.edu.sg/~abhik,UxFWSJIAAAAJ,0000-0002-7127-1137,https://dblp.org/pid/04/5884
Abraham Silberschatz,Yale University,http://www.cs.yale.edu/~avi,-YvgZDEAAAAJ,0000-0000-0000-0000,https://dblp.org/pid/s/AbrahamSilberschatz
Adam Finkelstein,Princeton University,https://www.cs.princeton.edu/~af,a959F6AAAAAJ,0000-0001-9130-8411,https://dblp.org/pid/f/AdamFinkelstein
Adam Smith 0006,Boston University,http://cs-people.bu.edu/ads22,fkGi-JMAAAAJ,0000-0001-9393-1127,https://dblp.org/pid/04/5072
Adam Wierman,California Inst. of Technology,https://adamwierman.com,4OvOdSgAAAAJ,0000-0002-5923-0199,https://dblp.org/pid/56/4447
Adi Shamir,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=1486,EHLBP20AAAAJ,0000-0002-5422-905X,https://dblp.org/pid/s/AdiShamir
Aditya Akella,University of Texas at Austin,http://pages.cs.wisc.edu/~akella,d_rxnzAAAAAJ,0000-0002-5920-170X,https://dblp.org/pid/a/AdityaAkella
Adnan Darwiche,Univ. of California - Los Angeles,http://www.cs.ucla.edu/~darwiche,pygPWvEAAAAJ,0000-0000-0000-0000,https://dblp.org/pid/p/ADarwiche
Adrian Perrig,ETH Zurich,http://www.netsec.ethz.ch/people/aperrig,n-Oret4AAAAJ,0000-0002-5280-5412,https://dblp.org/pid/16/6873
Aggelos Kiayias,University of Edinburgh,http://www.inf.ed.ac.uk/people/staff/Aggelos_Kiayias.html,P_L_vZAAAAAJ,0000-0003-2451-1430,https://dblp.org/pid/47/3682
Ahmed E. Hassan,Queen’s University,http://www.cs.queensu.ca/~ahmed,9hwXx34AAAAJ,0000-0000-0000-0000,https://dblp.org/pid/h/AhmedEHassan
Ahmed K. Elmagarmid,Qatar Computing Research Inst.,https://www.cs.purdue.edu/homes/ake,Cb9BDJkAAAAJ,0000-0000-0000-0000,https://dblp.org/pid/e/AKElmagarmid
